danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,songName,duration_min
0.6488456865127582,0.4937853107344633,5,1,0.00312074127021416,0.7372810388416213,0,0.49401330004019967,0.4787077826725403,0.2461823229986118,2WrzwxqDxBWcWYkk9DAJ9j,Candy Wrappers,0.3362864097817188
0.5054678007290401,0.8022598870056497,8,0,0.09927366363345952,0.0645933761981918,0,0.5777906347061434,0.844766100272708,0.5476943857323313,0MgOsVty0YR1kas7x16yoS,Freaking Out The Neighborhood,0.3003648106644749
0.7047387606318348,0.4711864406779661,0,0,0.10035825130367915,0.10696740219147871,0,0.1927415167501923,0.049716803020767766,0.46493115049339023,7uWdDOhI3wydISWM1AXN0M,My Potna Dem,0.2611790672174133
0.4143377885783719,0.8384180790960452,8,1,0.43460684171489533,0.13980727233627607,0,0.701610810716802,0.5154185022026432,0.13973760896481863,465eCPwUAz2qz7IdQaxUui,Rare,0.3565183848468502
0.5941676792223574,0.6056497175141243,4,0,0.015383298591738384,0.8093168830302091,0,0.284510565825772,0.4682190056639395,0.5334617356829296,3Uw2se3aQU1UFrpRBvBnB4,Sept. 16,0.4192354753616098
0.9173754556500608,0.6169491525423729,8,0,0.2122605815531961,0.3336684412555636,0,0.20144196588833035,0.803859869939165,0.22676563652963472,0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),0.22999094463969422
0.6537059538274606,0.8757062146892656,6,0,0.08166797699890183,0.05940255801401415,0,0.39122260153208405,0.9307740717432347,0.29600285153269884,39LLxExYz6ewLAcYrzQQyP,Levitating,0.3517437006792677
0.7181044957472662,0.7129943502824858,8,1,0.039001330322873555,0.011308038511633525,0,0.22340305996160237,0.5154185022026432,0.40850081919031483,6OGogr19zPTM4BALXuMQpF,Take My Breath,0.3774473471379182
0.307411907654921,0.5570621468926553,5,1,0.05578445019717599,0.43112870104012346,0,0.7828206497079306,0.3843087895951332,0.4911702540115312,2ZDRkJrKbceJRgLKkuex14,4 Da Kidz,0.3188739780652408
0.6366950182260026,0.6531073446327684,9,1,0.4422101601914007,0.05876694762411485,0,0.14305504237940536,0.5888399412628487,0.3311905149017598,21AJQhGZpujjZQXByZAXpr,REPEAT IT (with Gunna),0.3294034414090133
0.7825030376670719,0.6542372881355931,1,1,0.5212455272794715,0.15251948013426211,0,0.2342671271421795,0.4965387035871617,0.670666733369186,1MIGkQxcdAt2lDx6ySpsc5,SUVs (Black on Black),0.26976434401294574
0.534629404617254,0.36610169491525424,10,0,0.03256350833209704,0.08069550607564084,0,0.2517177903952979,0.13887140759387454,0.3704241029553386,0xgMhStlvnlNzwewETY4L6,No Limit,0.24209229914331115
0.919805589307412,0.6169491525423729,6,0,0.3934656891475451,0.0025683956505181023,0,0.1860673801585555,0.7115586322634779,0.5521467788936554,4LH1gsNA3wUS6QKkGZoJN8,XXL,0.26222932079675015
0.6998784933171325,0.8033898305084746,1,1,0.3216764957280451,0.2531577918683185,0,0.5281654256049144,0.6276484161946716,0.26297259777130205,3f4NZkjWlw6jsS8B7I49hE,Space Hos,0.3608162688158036
0.503037667071689,0.6870056497175141,6,1,0.4472600355852225,0.3802798698481792,0,0.8947823029941782,0.896161107614852,0.19923834060807694,4WM1hvYr2NC6bQnQXcj3sH,Meat Grinder,0.21594093236063172
0.8153098420413123,0.5785310734463277,8,1,0.051963027325831336,0.01734633721567691,0,0.19173871912021778,0.4294105307321166,0.4584151481421264,0k4d5YPDr1r7FX77VdqWez,You Right,0.3222360854438316
0.6160388821385178,0.5649717514124294,1,1,0.07444801436864038,0.3220155841074097,0,0.2076357881975745,0.17558212712397733,0.4650124441887515,3Vi5XqYrmQgOYBajMWSvCi,Need To Know,0.3625221070980868
0.5188335358444714,0.847457627118644,8,1,0.1517640032275073,0.015227635916012564,0,0.9269853527660292,0.35913572477449124,0.13335918055955076,2BITQ360Knh6qNAOqR7Dyq,Miss The Rage (feat. Playboi Carti),0.402119300510787
0.761846901579587,0.7310734463276837,9,1,0.0667229854327063,0.0823904671153723,0,0.24134133305806943,0.6926788336479967,0.5650724764560953,5RWp0wbRWI5rC8qemJ42h8,Y DON'T U,0.21765573948478872
0.7229647630619684,0.5129943502824859,3,0,0.279037960523984,0.15463818143392646,0,0.22705941031547672,0.5500314663310257,0.5588691421639131,4VW44pawoOHPUjlN7DX5vk,GANG GANG (with Lil Wayne),0.30922442607273865
0.6731470230862697,0.6587570621468926,4,0,0.051165804976269456,0.30294727241043057,0,0.4219726931010836,0.60562198447661,0.27045787110571934,0RY6G1JjcZNJP6QtCFlzHm,Just For Me (feat. SZA) - Space Jam: A New Legacy,0.3731624494419525
0.8116646415552855,0.24180790960451976,7,0,0.1562650273285049,0.5635475322691451,0,0.1725147749280917,0.0948185441577512,0.3724439386170067,4uZN4qoIhwCQz3HcthbcGv,Dolce & Gabbana - Slowed,0.4214804177976765
0.5625759416767923,0.5389830508474576,1,1,0.2832117722811161,0.16417233728241604,0,0.7064137802981743,0.4829032934759806,0.5093487749665446,5fbHRCsGpFIOLRtlhCRFDR,LEMONHEAD (feat. 42 Dugg),0.21396469730263618
0.692588092345079,0.8983050847457626,10,0,0.06387629687099611,0.016181051500861517,1,0.2146654470424637,0.36228235787707147,0.42736095651412637,3M89zvwwb1jtDUDKYNsdiA,Calabria (feat. Lujavo & Nito-Onna),0.20839016517718129
0.6184690157958689,0.5887005649717514,3,0,0.45981887217304784,0.22879272692217856,0,0.3490928858883811,0.7199496538703586,0.5591005165276337,5RXOfsXcysYnhjEwXFTkG3,Brave (feat. Dakk & EVAN GIIA),0.34881069840992823
0.49939246658566216,0.5796610169491525,4,1,0.13363863887172017,0.06671207749785615,0,0.7261420467724216,0.08642752255087056,0.1332278599747364,6rfahvufEQDIVTHJIU2QQB,"For Aisha (Featured in ""The Sky Is Pink"")",0.547969796147048
0.4447144592952613,0.7084745762711864,8,0,0.03964376106955398,0.0246558566995189,0,0.18278292220773135,0.29200755191944616,0.4957227009517616,5wSuylaa590DX3BPB6s6NO,Trenches,0.28501581599353715
0.6172539489671933,0.40677966101694907,10,0,0.16523114707941208,0.5985061037136067,0,0.39876045209131344,0.12104048667925318,0.37628350238253067,13HsOwrwTA5HgLuoaDHncP,RUNITUP (feat. Teezo Touchdown),0.3914748097418464
0.3098420413122722,0.4214689265536723,1,0,0.12907665274496147,0.24574233731949333,0,0.26349284705807224,0.11474722047409272,0.33214102580136834,23aigxgRn6cVPxkJF3S5oe,4U,0.3740916148466655
0.7557715674362091,0.7039548022598869,6,0,0.3499592682339908,0.13980727233627607,0,0.2717012491631305,0.6297461715963918,0.5270020135823006,6p9MYo3jPcffM4tT1B3Bq8,Key to the Streets (Remix),0.4209515602477815
0.6415552855407048,0.8429378531073446,1,0,0.5711670028024495,0.34849935035321405,0,0.49294996734759006,0.4545835955527585,0.6347286666583289,2goHCrsDJaflEwQ930ef0o,MASSA,0.38277632722356275
0.8140947752126366,0.5220338983050847,11,1,0.48465903019091416,0.020630324230156646,0,0.3280620900076697,0.6224040276903712,0.5400090048401016,7z4xW9WY86uH3gd1V9pfCM,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),0.24711980853166143
0.6585662211421628,0.23389830508474574,0,1,0.5594144625618026,0.16417233728241604,0,0.23068043112699266,0.5961820851688692,0.46950235751716546,4Sugj8dF1Cbb53LcGJhIxO,Rollin Stone,0.37623401916601856
